p (r/min),w (rad/s)
-10.4408,-0.198793
-13.1542,-0.250455
-8.13083,-0.154811
-8.13083,-0.154811
-0.806667,-0.0153589
0.165,0.00314159
0.595833,0.0113446
0,0
0,0
0,0
0.201667,0.00383972
-0.44,-0.00837758
-0.174167,-0.00331613
-6.435,-0.122522
-7.14083,-0.135961
-13.5758,-0.258483
-10.285,-0.195826
-7.07667,-0.134739
-1.6775,-0.0319395
0,0
0,0
0,0
0.2475,0.00471239
-0.495,-0.00942478
-3.69417,-0.0703368
-10.4775,-0.199491
-8.4975,-0.161792
-13.4017,-0.255167
-7.40667,-0.141023
-0.0458333,-0.000872665
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.0275,0.000523599
-0.0641667,-0.00122173
-10.2392,-0.194953
-14.4833,-0.275762
-10.4317,-0.198618
-8.7725,-0.167028
-8.7725,-0.167028
-5.115,-0.0973894
0,0
0,0
0,0
0,0
0,0
-0.44,-0.00837758
-4.69333,-0.0893609
-8.26833,-0.157429
-9.05667,-0.172439
-14.96,-0.284838
-7.04917,-0.134216
-14.1258,-0.268955
6.0775,0.115715
7.70917,0.146782
-0.229167,-0.00436332
0,0
0,0
0,0
0,0
0.183333,0.00349066
-0.0183333,-0.000349066
5.48167,0.104371
14.6942,0.279776
9.67083,0.184132
15.18,0.289027
10.0192,0.190764
13.9425,0.265465
13.5575,0.258134
10.8808,0.207171
13.5942,0.258832
10.2117,0.19443
10.8258,0.206123
12.1917,0.232129
12.4483,0.237016
8.70833,0.165806
7.205,0.137183
1.76,0.0335103
-0.55,-0.010472
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.119167,-0.00226893
-0.1375,-0.00261799
-0.348333,-0.00663225
0.375833,0.00715585
1.09083,0.0207694
0.77,0.0146608
0.4675,0.00890118
-0.5775,-0.0109956
1.13667,0.0216421
-0.11,-0.0020944
0.623333,0.0118682
-0.183333,-0.00349066
-0.870833,-0.0165806
0.22,0.00418879
0.174167,0.00331613
0.238333,0.00453786
0.485833,0.00925025
-0.953333,-0.0181514
0.385,0.00733038
0.119167,0.00226893
0.348333,0.00663225
-0.540833,-0.0102974
-0.22,-0.00418879
0.229167,0.00436332
0.055,0.0010472
0.055,0.0010472
0.5225,0.00994838
-0.7975,-0.0151844
1.1275,0.0214675
0.339167,0.00645772
-0.458333,-0.00872665
-0.605,-0.0115192
1.00833,0.0191986
0.183333,0.00349066
1.00833,0.0191986
-0.100833,-0.00191986
1.4575,0.0277507
-1.46667,-0.0279253
-0.925833,-0.0176278
-0.44,-0.00837758
-1.25583,-0.023911
-3.55667,-0.0677188
-6.88417,-0.131074
-10.7158,-0.204029
-11.1558,-0.212407
-12.2192,-0.232652
-10.9908,-0.209265
-10.5783,-0.201411
-10.7158,-0.204029
-11.5042,-0.219039
-12.2467,-0.233176
-9.39583,-0.178896
-6.26083,-0.119206
-0.449167,-0.00855211
-0.485833,-0.00925025
0.430833,0.00820305
-0.394167,-0.00750492
0,0
0,0
0.155833,0.00296706
-0.100833,-0.00191986
-4.21667,-0.0802851
-9.5425,-0.181689
-13.09,-0.249233
-13.3008,-0.253247
-11.2933,-0.215025
-12.8425,-0.244521
-11.5042,-0.219039
-12.8333,-0.244346
-11.5775,-0.220435
-9.24,-0.175929
-1.76,-0.0335103
-0.4675,-0.00890118
1.5125,0.0287979
5.1425,0.097913
6.2425,0.118857
11.3942,0.216944
9.11167,0.173486
11.6142,0.221133
12.3842,0.235794
9.52417,0.18134
10.7983,0.2056
8.53417,0.16249
13.8875,0.264417
12.0633,0.229685
8.965,0.170693
11.495,0.218864
10.3217,0.196524
11.3758,0.216595
10.3675,0.197397
13.0442,0.24836
12.0633,0.229685
11.8617,0.225846
12.2008,0.232303
9.02917,0.171915
11.6233,0.221308
12.2375,0.233001
11.7792,0.224275
14.1167,0.268781
13.8508,0.263719
13.4017,0.255167
9.5975,0.182736
10.3858,0.197746
12.5125,0.238237
12.0175,0.228813
13.6767,0.260403
13.9242,0.265116
12.4942,0.237888
9.13917,0.174009
13.2458,0.2522
12.5217,0.238412
13.365,0.254469
13.145,0.25028
16.5275,0.314683
9.7075,0.18483
14.1808,0.270002
11.9808,0.228115
13.6308,0.25953
15.3633,0.292517
15.4733,0.294612
12.5125,0.238237
10.6517,0.202807
13.1817,0.250978
13.805,0.262847
14.245,0.271224
15.2442,0.290248
10.8442,0.206472
11.715,0.223053
14.3367,0.272969
14.6483,0.278904
15.6383,0.297753
13.3833,0.254818
13.9058,0.264766
13.9058,0.264766
11.8342,0.225322
15.7483,0.299848
9.23083,0.175755
9.23083,0.175755
